Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior,Name
32.0,Male,1,Software Engineer,5.0,90000.0,UK,White,0,Male_1
28.0,Female,2,Data Analyst,3.0,65000.0,USA,Hispanic,0,Female_1
45.0,Male,3,Manager,15.0,150000.0,Canada,White,1,Male_2
36.0,Female,1,Sales Associate,7.0,60000.0,USA,Hispanic,0,Female_2
52.0,Male,2,Director,20.0,200000.0,USA,Asian,0,Male_3
29.0,Male,1,Marketing Analyst,2.0,55000.0,USA,Hispanic,0,Male_4
42.0,Female,2,Product Manager,12.0,120000.0,USA,Asian,0,Female_3
31.0,Male,1,Sales Manager,4.0,80000.0,China,Korean,0,Male_5
26.0,Female,1,Marketing Coordinator,1.0,45000.0,China,Chinese,0,Female_4
38.0,Male,3,Scientist,10.0,110000.0,Australia,Australian,1,Male_6
29.0,Male,2,Software Developer,3.0,75000.0,UK,Welsh,0,Male_7
48.0,Female,1,HR Manager,18.0,140000.0,UK,Asian,0,Female_5
35.0,Male,1,Financial Analyst,6.0,65000.0,China,Korean,0,Male_8
40.0,Female,2,Project Manager,14.0,130000.0,USA,African American,0,Female_6
27.0,Male,1,Customer Service Rep,2.0,40000.0,Canada,Asian,0,Male_9
44.0,Male,1,Operations Manager,16.0,125000.0,China,Chinese,0,Male_10
33.0,Female,2,Marketing Manager,7.0,90000.0,USA,Asian,0,Female_7
39.0,Male,3,Engineer,12.0,115000.0,UK,Mixed,1,Male_11
25.0,Female,1,Data Entry Clerk,0.0,35000.0,UK,Asian,0,Female_8
51.0,Male,1,Sales Director,22.0,180000.0,Australia,Asian,0,Male_12
34.0,Female,2,Business Analyst,5.0,80000.0,China,Korean,0,Female_9
47.0,Male,2,VP of Operations,19.0,190000.0,UK,White,0,Male_13
30.0,Male,1,IT Support,2.0,50000.0,UK,Asian,0,Male_14
36.0,Female,1,Recruiter,9.0,60000.0,China,White,0,Female_10
41.0,Male,2,Financial Manager,13.0,140000.0,USA,African American,0,Male_15
28.0,Female,1,Social Media Specialist,3.0,45000.0,Canada,White,0,Female_11
37.0,Female,2,Software Manager,11.0,110000.0,Australia,Asian,0,Female_12
24.0,Male,1,Developer,1.0,40000.0,Australia,Asian,0,Male_16
43.0,Female,3,Consultant,15.0,140000.0,Canada,Black,1,Female_13
33.0,Male,2,Product Designer,6.0,90000.0,China,Korean,0,Male_17
50.0,Male,1,CEO,25.0,250000.0,Canada,Asian,0,Male_18
31.0,Female,1,Accountant,4.0,55000.0,UK,White,0,Female_14
29.0,Male,2,Data Scientist,3.0,75000.0,USA,Hispanic,0,Male_19
39.0,Female,1,Marketing Specialist,10.0,65000.0,Canada,White,0,Female_15
46.0,Male,3,Manager,20.0,170000.0,USA,Hispanic,1,Male_20
27.0,Male,1,Technical Writer,2.0,45000.0,Australia,Asian,0,Male_21
35.0,Female,1,HR Generalist,7.0,60000.0,UK,White,0,Female_16
42.0,Male,2,Project Engineer,14.0,115000.0,China,White,0,Male_22
26.0,Female,1,Customer Success Rep,1.0,40000.0,Canada,Asian,0,Female_17
49.0,Male,1,Sales Executive,21.0,160000.0,China,White,0,Male_23
34.0,Female,2,UX Designer,5.0,80000.0,UK,Asian,0,Female_18
48.0,Male,2,Operations Director,18.0,190000.0,Canada,Black,0,Male_24
30.0,Male,1,Network Engineer,3.0,60000.0,China,Korean,0,Male_25
36.0,Female,1,Administrative Assistant,8.0,45000.0,UK,Asian,0,Female_19
41.0,Male,2,Strategy Consultant,13.0,130000.0,UK,Asian,0,Male_26
